1011	1031	127	313	887	585	526	243	331	1168	
75	1782	1782	1222	1782	259	488	25	856	1782	
271	1782	1166	1782	1782	1782	1112	388	1782	1782	
654	654	1186	878	452	641	683	1782	1782	1782	
1124	1782	1782	1782	1181	1157	330	1782	1782	1782	
250	44	1782	1283	962	484	30	545	373	182	
409	380	1782	1782	1782	1782	1782	476	967	1086	
1782	1782	1782	319	445	223	628	1782	1782	97	
328	1782	84	547	1782	1782	428	758	1782	1782	
1782	1782	537	1782	985	1782	35	303	691	1105	
837	432	1782	1782	474	1782	1782	1782	678	910	
1782	1782	420	1215	1135	1782	959	1782	1782	703	
1782	1782	893	665	1782	230	398	1782	1782	1782	
1230	824	60	310	1782	1782	1782	1782	1782	1093	
1782	473	1782	180	823	390	355	339	921	1782	
1782	344	1782	1782	313	332	829	800	898	222	
69	1294	1782	10	467	1782	1198	315	1209	1782	
31	1782	939	163	80	1018	171	652	103	381	
392	593	441	1782	147	1261	1782	862	882	780	
878	921	1782	1782	1782	1782	724	722	998	1782	
1065	1782	1782	780	334	1782	1782	92	1782	1782	
612	1261	1782	374	73	520	553	1005	1289	489	
30	787	217	597	327	1198	168	540	1782	391	
503	1132	31	643	1782	1782	1782	1782	1782	501	
1782	329	753	1782	1782	301	6	1782	857	287	
1782	292	1065	637	1782	1782	666	439	501	893	
65	865	1782	849	179	1177	1782	1285	1782	634	
1135	1782	1782	1782	1111	1782	516	28	1782	340	
507	954	275	1782	1782	1782	1782	1782	1782	1782	
334	1782	173	88	679	1782	1782	1132	1010	1782	
587	223	832	1782	1228	613	606	1299	376	1782	
1782	978	1782	743	260	1782	1782	25	552	483	
124	613	908	981	1782	1203	165	1782	694	421	
1103	1782	1034	235	301	429	536	1782	333	925	
1782	1782	879	783	646	510	728	200	1782	1180	
146	1782	667	1782	406	60	1782	395	1293	1782	
1285	76	307	777	117	133	1782	1782	1782	1782	
1260	1782	1166	975	1171	1782	1782	1782	246	1782	
1782	1249	627	736	1087	322	885	1222	791	1048	
1030	1782	273	249	661	985	1782	583	1782	405	
169	1782	1782	1782	945	1782	1228	902	1782	858	
22	1257	841	1265	20	940	1782	1142	1782	1034	
1782	818	1782	782	1044	675	1782	69	1163	1782	
1782	1782	1229	380	1782	1782	8	756	1782	112	
1782	1782	1782	654	1782	531	1782	594	706	719	
1281	608	1073	1782	93	1782	965	516	1782	1029	
231	78	1782	850	249	1782	959	1782	397	913	
447	442	1782	1782	383	92	282	321	1782	1782	
1782	1782	813	1782	635	1244	1243	644	1084	1782	
1782	1782	606	1204	1058	53	950	822	833	834	
